dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size_bytes,size,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi,nemar_citation_count
ds004582,73,73,1,,,,0.0,315915939030,294.2 GB,openneuro,FakeFaceEmo_data,eeg,"[{""val"": 64, ""count"": 73}]","[{""val"": 10000.0, ""count"": 73}]",CC0,doi:10.18112/openneuro.ds004582.v1.0.0,0.0
ds004584,149,149,1,,,,0.0,3078216426,2.9 GB,openneuro,Rest eyes open,eeg,"[{""val"": 63, ""count"": 119}, {""val"": 64, ""count"": 29}, {""val"": 66, ""count"": 1}]","[{""val"": 500.0, ""count"": 149}]",CC0,doi:10.18112/openneuro.ds004584.v1.0.0,2.0
ds004587,103,114,1,,,,0.0,235517890332,219.3 GB,openneuro,IllusionGameEEG_data,eeg,"[{""val"": 64, ""count"": 114}]","[{""val"": 10000.0, ""count"": 114}]",CC0,doi:10.18112/openneuro.ds004587.v1.0.0,0.0
ds004588,42,42,1,,,,0.0,560003959,534.1 MB,openneuro,Neuma,eeg,"[{""val"": 24, ""count"": 42}]","[{""val"": 300.0, ""count"": 42}]",CC0,doi:10.18112/openneuro.ds004588.v1.2.0,1.0
ds004595,53,53,1,,,,0.0,8390886212,7.8 GB,openneuro,EEG: RL Task (3-Armed Bandit) with alcohol cues in hazardous drinkers and ctls,eeg,"[{""val"": 66, ""count"": 53}]","[{""val"": 500.0, ""count"": 53}]",CC0,doi:10.18112/openneuro.ds004595.v1.0.0,1.0
ds004598,9,20,1,Unknown,Unknown,Unknown,0.0,10673023391,9.9 GB,openneuro,LFP during linear track in 6-month old TgF344-AD rats,eeg,"[{""val"": 16, ""count"": 20}]","[{""val"": 10000.0, ""count"": 20}]",CC0,doi:10.18112/openneuro.ds004598.v1.0.0,0.0
ds004602,182,546,3,,,,0.0,79364456510,73.9 GB,openneuro,Registered Replication Report of ERN/Pe Psychometrics,eeg,"[{""val"": 129, ""count"": 546}]","[{""val"": 500.0, ""count"": 501}, {""val"": 250.0, ""count"": 45}]",CC0,doi:10.18112/openneuro.ds004602.v1.0.1,5.0
ds004603,37,37,1,,,,0.0,29391618186,27.4 GB,openneuro,Visual Attribute-Specific Contextual Trajectory Paradigm,eeg,"[{""val"": 65, ""count"": 37}]","[{""val"": 1024.0, ""count"": 37}]",CC0,doi:10.18112/openneuro.ds004603.v1.1.0,1.0
ds004621,42,167,4,,,,0.0,83086874697,77.4 GB,openneuro,The Nencki-Symfonia EEG/ERP dataset,eeg,"[{""val"": 127, ""count"": 167}]","[{""val"": 1000.0, ""count"": 167}]",CC0,doi:10.18112/openneuro.ds004621.v1.0.4,1.0
ds004624,3,614,28,Unknown,Clinical/Intervention,Unknown,0.0,20739089774,19.3 GB,openneuro,Intracranial recordings using BCI2000 and the CorTec BrainInterchange,ieeg,"[{""val"": 36, ""count"": 363}, {""val"": 34, ""count"": 234}, {""val"": 39, ""count"": 17}]","[{""val"": 1000.0, ""count"": 614}]",CC0,doi:10.18112/openneuro.ds004624.v2.0.0,0.0
ds004625,32,543,9,,,,0.0,67068941232,62.5 GB,openneuro,Mind in Motion Young Adults Walking Over Uneven Terrain,eeg,"[{""val"": 284, ""count"": 323}, {""val"": 310, ""count"": 187}, {""val"": 375, ""count"": 33}]","[{""val"": 500.0, ""count"": 543}]",CC0,doi:10.18112/openneuro.ds004625.v1.0.2,0.0
ds004626,52,52,1,,,,0.0,21336340983,19.9 GB,openneuro,Can we dissociate hypervigilance to social threats from altered perceptual decision-making processes in lonely individuals? An exploration with Drift Diffusion Modelling and event-related potentials.,eeg,"[{""val"": 68, ""count"": 52}]","[{""val"": 1000.0, ""count"": 52}]",CC0,doi:10.18112/openneuro.ds004626.v1.0.2,1.0
ds004635,48,48,1,,,,0.0,27971375388,26.1 GB,openneuro,Gaffrey Lab Infant Microstates Reliability,eeg,"[{""val"": 129, ""count"": 48}]","[{""val"": 1000.0, ""count"": 47}]",CC0,doi:10.18112/openneuro.ds004635.v3.1.0,2.0
ds004642,10,10,1,Other,Other,Surgery,0.0,1292805561,1.2 GB,openneuro,Intraoperative recordings of medianus stimulation with low and high impedance ECoG,ieeg,"[{""val"": 8, ""count"": 7}, {""val"": 9, ""count"": 2}, {""val"": 10, ""count"": 1}]","[{""val"": 20000.0, ""count"": 10}]",CC0,doi:10.18112/openneuro.ds004642.v1.0.1,2.0
ds004657,24,119,1,,,,0.0,46237302253,43.1 GB,openneuro,Driving with Autonomous Aids,eeg,"[{""val"": 74, ""count"": 119}]","[{""val"": 1024.0, ""count"": 111}, {""val"": 8192.0, ""count"": 8}]",CC0,doi:10.18112/openneuro.ds004657.v1.0.3,1.0
ds004660,21,42,1,,,,0.0,7782408262,7.2 GB,openneuro,TNO,eeg,"[{""val"": 38, ""count"": 42}]","[{""val"": 512.0, ""count"": 41}, {""val"": 2048.0, ""count"": 1}]",CC0,doi:10.18112/openneuro.ds004660.v1.0.2,1.0
ds004661,17,17,1,,,,0.0,1505576944,1.4 GB,openneuro,ANDI,eeg,"[{""val"": 64, ""count"": 17}]","[{""val"": 128.0, ""count"": 17}]",CC0,doi:10.18112/openneuro.ds004661.v1.1.0,0.0
ds004696,8,8,1,Other,Clinical/Intervention,Epilepsy,0.0,15212997823,14.2 GB,openneuro,HAPwave_bids,ieeg,"[{""val"": 226, ""count"": 1}, {""val"": 201, ""count"": 1}, {""val"": 178, ""count"": 1}, {""val"": 192, ""count"": 1}, {""val"": 194, ""count"": 1}, {""val"": 244, ""count"": 1}, {""val"": 207, ""count"": 1}, {""val"": 256, ""count"": 1}]","[{""val"": 2048.0, ""count"": 8}]",CC0,doi:10.18112/openneuro.ds004696.v1.0.1,1.0
ds004703,10,11,1,Auditory,Memory,Surgery,0.0,13278807157,12.4 GB,openneuro,sEEG Passive listening to natural speech,ieeg,"[{""val"": 148, ""count"": 4}, {""val"": 279, ""count"": 2}, {""val"": 276, ""count"": 2}, {""val"": 277, ""count"": 2}, {""val"": 280, ""count"": 1}]","[{""val"": 1024.0, ""count"": 7}, {""val"": 512.0, ""count"": 4}]",CC0,doi:10.18112/openneuro.ds004703.v1.1.0,2.0
ds004706,34,298,2,Visual,Memory,Healthy,0.0,1426144562699,1.3 TB,openneuro,Spatial memory and non-invasive closed-loop stimulus timing,eeg,"[{""val"": 137, ""count"": 298}]","[{""val"": 2048.0, ""count"": 298}]",CC0,doi:10.18112/openneuro.ds004706.v1.0.0,3.0
ds004718,51,51,1,,,,0.0,39765512028,37.0 GB,openneuro,Le Petit Prince Hong Kong: Naturalistic fMRI and EEG dataset from older Cantonese speakers,eeg,"[{""val"": 64, ""count"": 51}]","[{""val"": 1000.0, ""count"": 51}]",CC0,doi:10.18112/openneuro.ds004718.v1.1.2,1.0
ds004738,4,25,2,Other,Other,Other,0.0,6587104869,6.1 GB,openneuro,sfb_meg_phantom (B04/C01),meg,"[{""val"": 323, ""count"": 13}, {""val"": 160, ""count"": 12}]","[{""val"": 5000.0, ""count"": 25}]",CC0,doi:10.18112/openneuro.ds004738.v1.0.1,1.0
ds004745,6,6,1,Visual,Other,Healthy,0.0,253839277,242.1 MB,openneuro,8-Channel SSVEP EEG Dataset with Artifact Trials,eeg,"[{""val"": 8, ""count"": 6}]","[{""val"": 1000.0, ""count"": 6}]",CC0,doi:10.18112/openneuro.ds004745.v1.0.1,0.0
